,index,lat,lon,tags.name,tags.tourism,tags.website,tags.stars,tags.email,tags.phone,tags.addr:city,tags.addr:city:en,tags.addr:postcode,tags.addr:street:en,tags.addr:street:mk,tags.addr:housenumber,tags.smoking,tags.rooms,tags.internet_access,tags.internet_access:fee
0,2,41.9766582,21.4087904,Хотел Водно,hotel,http://hotelimakedonija.com.mk/mk/Hotel/57/Hotel-Vodno-Skopje,3,,,Skopje,Скопје,1000,,,,outside,,yes,no
1,4,41.9761668,21.4358015,Hotel Imperial,hotel,,3,,,Skopje,Скопје,1000,,,,isolated,,yes,no
2,5,41.9762321,21.4362154,Sun Hotel,hotel,,3,,,Skopje,Скопје,1000,,,,outside,,yes,no
3,6,41.9899385,21.454931,hotel porta,hotel,http://www.hotelporta.com.mk/,5,,,Skopje,Скопје,1000,,,,outside,,yes,no
4,7,41.9899482,21.4198508,Хотел 7,hotel,,5,,,Skopje,Скопје,1000,,,,outside,,no,yes
5,8,42.0037446,21.4244806,Канет,hotel,,5,,,Skopje,Скопје,1000,,,,separated,,no,no
6,9,41.9944128,21.4063454,Вук;Никем,hostel,,3,,,Skopje,Скопје,1000,,,,separated,,no,yes
7,14,41.980192,21.440152,Hotel Orange Inn,hotel,https://www.booking.com/hotel/mk/orange-inn.en-gb.html?sid=1ddd35f0ef4f22510d37f152a78ce4a3,3,info@orangeinn.com.mk,+38922772254,Skopje,Скопје,1000,,,,outside,,yes,no
8,15,41.9842736,21.4340308,Хостел Хостел,hostel,,3,,,Skopje,Скопје,1000,,,,outside,,yes,no
9,16,41.9849555,21.4321318,Сити Хостел,hostel,,1,,+38970226165,Skopje,Скопје,1000,,,6,outside,,yes,no
10,17,41.9801123,21.4249793,Хотел Турена,hotel,,3,,,Skopje,Скопје,1000,,,,separated,,yes,no
11,18,41.9843835,21.4262323,Александар,hotel,,1,,,Skopje,Скопје,1000,,,24,separated,,yes,yes
12,19,41.9948912,21.4329531,Hotel City Central International,hotel,,5,,,Skopje,Скопје,1000,,,,isolated,,yes,yes
13,20,42.0055458,21.3755273,Мрамор,hotel,,2,,,Skopje,Скопје,1000,,,,separated,,yes,no
14,24,41.9941717,21.4068121,Hotel Kapistec,hotel,,3,,,Skopje,Скопје,1000,,,,isolated,,no,no
15,25,41.9824332,21.4347873,Кастело,hostel,https://hostelkalonis.wordpress.com/,5,,+38970631832,Skopje,Скопје,1000,,,47,separated,,yes,no
16,27,41.9921961,21.4208286,Rezidencija Ancevski,guest_house,,3,,,Skopje,Скопје,1000,,,,isolated,,yes,no
